"146-983","2710","X400000-0","VaBa","","Dominika","","RedZone","","0","","","","0","","0","","","","0","","","Ba","0","","","","4","X","","","0","Va"
"Ejyo","0215","C300546-8","VaNINa","","Huttich","","","Modular Space Station","0","","","Na","4","","0","","","","6","","","NI","5","","","","3","C","","","8","Va"
"Huttich","0216","A4A3896-12","FlInHt","NTI","Huttich","","","","A","","","","9","Fl","3","","I","","6","N","","","8","In","","","4","A","T","Ht","12",""
"Ghodo","0217","E3A3388-8","FlLo","","Huttich","","AmberZone","","A","","","","8","Fl","3","","","","8","","","Lo","3","","","","3","E","","","8",""
"Isjah","0220","D4A4678-8","FlAgRiNI","S","Huttich","","AmberZone","Modular Space Station","A","","","","7","Fl","4","","","","8","","","NI","6","Ag","","S","4","D","","","8","Ri"
"Tongduj","0313","X302100-10","VaLo","","Huttich","","AmberZone","","0","","","","0","","2","","","","0","","","Lo","1","","","","3","X","","","10","Va"
"Pubekh","0416","D565646-7","GaAgNI","S","Huttich","","","AncientImperial Colony 6520000","6","","","","4","Ga","5","","","","6","","","NI","6","Ag","","S","5","D","","","7",""
"Hidjolev","0319","BA7A886-8","WaIn","","Huttich","","","","7","","","","8","Wa","A","","","","6","","","","8","In","","","A","B","","","8",""
"Yintagh","0611","C886321-8","GaLo","","Huttich","","","AncientImperial Colony Modular Space Station 19560","8","","","","2","Ga","6","","","","1","","","Lo","4","","","","8","C","","","8",""
"Nural","0612","B884788-9","GaAgRi","SNT","Huttich","","","AncientImperial Colony 163000000","8","","","","8","Ga","4","","","","8","N","","","8","Ag","","S","8","B","T","","9","Ri"
"Lodhom","0613","X104132-8","VaLo","","Huttich","","","","0","","","","3","","4","","","","2","","","Lo","1","","","","1","X","","","8","Va"
"Denibya","0518","B878426-12","GaAgNIHt","NRTI","Huttich","","","AncientImperial Colony 65200","7","","","","2","Ga","8","","I","","6","N","","NI","4","Ag","R","","8","B","T","Ht","12",""
"Chundab","0711","D672544-4","NILt","","Huttich","","AmberZone","","7","","","","4","","2","","","","4","","","NI","5","","","","6","D","","Lt","4",""
"Qeyhamoh","0617","B55889A-5","GaAgLt","P","Huttich","","","326000000","5","","","","9","Ga","8","","","","A","","P","","8","Ag","","","5","B","","Lt","5",""
"Nehman","0618","A576998-10","GaInHi","NT","Huttich","","","16.3Billion","7","","","","9","Ga","6","","","","8","N","","Hi","A","In","","","5","A","T","","10",""
"Sarumpaet","0128","C6B1649-9","FlNI","","Zapata","","AmberZone","PlagueEra Colony Modular Space Station","B","","","","4","Fl","1","","","","9","","","NI","6","","","","6","C","","","9",""
"Pachner","0225","A562632-9","NI","RTI","Zapata","","","PlagueEra Colony","6","","","","3","","2","","I","","2","","","NI","6","","R","","5","A","T","","9",""
"Viro","0325","X100326-9","VaLo","","Zapata","","","","0","","","","2","","0","","","","6","","","Lo","3","","","","1","X","","","9","Va"
"Peldan","0327","E415342-8","Lo","S","Zapata","","","","1","","","","4","","5","","","","2","","","Lo","3","","","S","4","E","","","8",""
"Turaev","0328","D402687-8","ICVaNINa","S","Zapata","","","Modular Space Station","0","","","Na","8","IC","2","","","","7","","","NI","6","","","S","4","D","","","8","Va"
"Gleason","0629","X99A168-4","WaLoLt","","Zapata","","","","9","","","","6","Wa","A","","","","8","","","Lo","1","","","","9","X","","Lt","4",""
"Memosa","0722","B415578-10","ICNI","N","Zapata","","AmberZone","PlagueEra Colony","1","","","","7","IC","5","","","","8","N","","NI","5","","","","4","B","","","10",""
"Harel","0726","B3006BA-8","VaNINa","ST","Zapata","","AmberZone","","0","","","Na","B","","0","","","","A","","","NI","6","","","S","3","B","T","","8","Va"
"Chaitin","0826","B764455-11","GaNI","T","Zapata","","","AncientImperial Colony 99000","6","","","","5","Ga","4","","","","5","","","NI","4","","","","7","B","T","","11",""
"Lerof","0232","C9A2456-11","FlNI","T","Thorne","","AmberZone","Post-Isolation Colony","A","","","","5","Fl","2","","","","6","","","NI","4","","","","9","C","T","","11",""
"Tyr","0531","DAC3142-11","FlLo","","Thorne","","","Post-Isolation Colony","C","","","","4","Fl","3","","","","2","","","Lo","1","","","","A","D","","","11",""
"Janos","0836","D536288-12","LoHt","","Thorne","","","Post-Isolation Colony","3","","","","8","","6","","","","8","","","Lo","2","","","","5","D","","Ht","12",""
"Okeanos","1136","XA7A275-7","WaLo","","Gaiana","","RedZone","","7","","","","7","Wa","A","","","","5","","","Lo","2","","","","A","X","","","7",""
"Thales","1637","D9B848B-9","FlNI","","Gaiana","","","PlagueEra Colony","B","","","","8","Fl","8","","","","B","","","NI","4","","","","9","D","","","9",""
"Bulao","3140","C573300-14","LoHt","","Tianzu","","RedZone","Post-Isolation Colony","7","","","","0","","3","","","","0","","","Lo","3","","","","5","C","","Ht","14",""
"Kezhu","3239","B3149BA-10","ICInHi","T","Tianzu","","","PlagueEra Colony","1","","","","B","IC","4","","","","A","","","Hi","9","In","","","3","B","T","","10",""
"Argyros","1237","A5A17AF-12","FlHt","NRTI","Gaiana","Argyros Capital","AmberZone","","A","","","","A","Fl","1","","I","","F","N","","","7","","R","","5","A","T","Ht","12",""
"Pancratius","1137","D998374-11","GaNI","","Gaiana","Argyros Province","AmberZone","AncientImperial Colony","9","","","","7","Ga","8","","","","4","","","NI","3","","","","9","D","","","11",""
"Eudoxia","1238","X947103-3","GaLoLt","","Gaiana","Argyros Province","RedZone","AncientImperial Colony","4","","","","0","Ga","7","","","","3","","","Lo","1","","","","9","X","","Lt","3",""
"Luksa","1337","B0009EF-9","AsInVaHiNa","STI","Gaiana","Argyros Province","AmberZone","PlagueEra Colony","0","","","Na","E","As","0","","I","","F","","","Hi","9","In","","S","0","B","T","","9","Va"
"Menelaos","1339","B9D5436-12","FlNIHt","NR","Gaiana","Argyros Province","","Post-Isolation Colony","D","","","","3","Fl","5","","","","6","N","","NI","4","","R","","9","B","","Ht","12",""
"Eumelia","1437","B527988-7","InHi","NTI","Gaiana","Argyros Province","","","2","","","","8","","7","","I","","8","N","","Hi","9","In","","","5","B","T","","7",""
"Zifeng","3036","A4A599B-13","HiHt","ST","Tianzu","Autonomous World","","","A","","","","9","","5","","","","B","","","Hi","9","","","S","4","A","T","Ht","13",""
"Tongguo","2238","A567B54-10","GaHi","RTI","Luxin","Bukai Capital","","AncientImperial Colony","6","","","","5","Ga","7","","I","","4","","","Hi","B","","R","","5","A","T","","10",""
"Mosui","2038","C745523-8","GaAgNI","P","Luxin","Bukai Province","","AncientImperial Colony Modular Space Station","4","","","","2","Ga","5","","","","3","","P","NI","5","Ag","","","7","C","","","8",""
"Guojie","2139","C7A4346-9","FlLo","S","Luxin","Bukai Province","","Modular Space Station","A","","","","4","Fl","4","","","","6","","","Lo","3","","","S","7","C","","","9",""
"Shiwangde","2140","A000944-13","AsInVaHiNaHt","SRT","Luxin","Bukai Province","","The Alliance's primary TL13 shipyard in the Edge of Space","0","","","Na","4","As","0","","","","4","","","Hi","9","In","R","S","0","A","T","Ht","13","Va"
"Nengli","2237","A317988-12","ICHiHt","STI","Luxin","Bukai Province","","","1","","","","8","IC","7","","I","","8","","","Hi","9","","","S","3","A","T","Ht","12",""
"Yaohai","2239","B000332-11","AsVaLoNa","SNT","Luxin","Bukai Province","","Post-Isolation Colony","0","","","Na","3","As","0","","","","2","N","","Lo","3","","","S","0","B","T","","11","Va"
"Dama","2335","D6A4521-8","FlNI","S","Luxin","Bukai Province","","","A","","","","2","Fl","4","","","","1","","","NI","5","","","S","6","D","","","8",""
"Bukai","2336","A661B83-12","HiHt","T","Luxin","Bukai Province","","","6","","","","8","","1","","","","3","","","Hi","B","","","","6","A","T","Ht","12",""
"Jiaqu","2337","D564734-4","GaAgRiLt","S","Luxin","Bukai Province","","AncientImperial Colony","6","","","","3","Ga","4","","","","4","","","","7","Ag","","S","5","D","","Lt","4","Ri"
"Minzu","2338","A4A8522-12","NIHt","RTI","Luxin","Bukai Province","","","A","","","","2","","8","","I","","2","","","NI","5","","R","","4","A","T","Ht","12",""
"Kaolu","2339","B596873-9","Ga","","Luxin","Bukai Province","","AncientImperial Colony","9","","","","7","Ga","6","","","","3","","","","8","","","","5","B","","","9",""
"Yinjian","2434","E5496A7-6","NI","P","Luxin","Bukai Province","AmberZone","Has the AmberZone classification istakenly meant for Kepade.","4","","","","A","","9","","","","7","","P","NI","6","","","","5","E","","","6",""
"Kepade","2435","C6A4746-8","Fl","SRI","Luxin","Bukai Province","","Modular Space Station","A","","","","4","Fl","4","","I","","6","","","","7","","R","S","6","C","","","8",""
"Gaoji","2438","B310864-10","Na","NT","Luxin","Bukai Province","","PlagueEra Colony","1","","","Na","6","","0","","","","4","N","","","8","","","","3","B","T","","10",""
"Chaifeng","2130","A997955-13","GaInHiHt","RTI","Chaifeng","Chaifeng Capital","","AncientImperial Colony The Secondary Shipyard in The Edge of Space","9","13","7","","5","Ga","7","7","I","12","5","","","Hi","9","In","R","","9","A","T","Ht","13",""
"Qinming","2227","D843445-2","PoNILt","S","Chaifeng","Chaifeng Province","","","4","2","-6","","4","","3","-2","","2","5","","","NI","4","","","S","8","D","","Lt","2","Po"
"Niben","2028","C310643-9","NINa","","Chaifeng","Chaifeng Province","","PlagueEra Colony Modular Space Station","1","6","-6","Na","4","","0","-1","","8","3","","","NI","6","","","","3","C","","","9",""
"Fuden","2228","D454756-7","Ag","","Chaifeng","Chaifeng Province","","","5","7","2","","5","","4","0","","8","6","","","","7","Ag","","","4","D","","","7",""
"Kenzhou","2030","B867967-10","GaHi","NTP","Chaifeng","Chaifeng Province","","AncientImperial Colony","6","11","4","","6","Ga","7","6","","10","7","N","P","Hi","9","","","","8","B","T","","10",""
"Port Strike","2226","B200463-12","VaNIHt","T","Chaifeng","Chaifeng Province","","Post-Isolation Colony","0","4","-3","","6","","0","-1","","5","3","","","NI","4","","","","2","B","T","Ht","12","Va"
"Bingqian","2029","D987885-4","GaRiLt","","Chaifeng","Chaifeng Province","","AncientImperial Colony","8","9","4","","8","Ga","7","4","","11","5","","","","8","","","","9","D","","Lt","4","Ri"
"Glitter","2022","D48A77A-11","WaRi","S","Chaifeng","Freeworlds Capital","","","8","6","-1","","7","Wa","A","2","","9","A","","","","7","","","S","4","D","","","11","Ri"
"Perdition","1819","X798304-3","GaLt","S","Syganga","Freeworlds Cluster","","AncientImperial Colony, Resettled PostIsolation","9","5","-3","","0","Ga","8","-2","","4","4","","","","3","","","S","7","X","","Lt","3",""
"Piety","1820","B5698AB-4","GaAgRiLt","TIP","Syganga","Freeworlds Cluster","AmberZone","AncientImperial Colony","6","9","6","","A","Ga","9","4","I","12","B","","P","","8","Ag","","","5","B","T","Lt","4","Ri"
"Confession","2122","X100222-5","VaLoLt","","Chaifeng","Freeworlds Cluster","","","0","2","-5","","2","","0","-4","","2","2","","","Lo","2","","","","1","X","","Lt","5","Va"
"Endeavour","1822","B678834-6","Ga","SNT","Chaifeng","Freeworlds Cluster","","AncientImperial Colony","7","10","2","","3","Ga","8","2","","9","4","N","","","8","","","S","6","B","T","","6",""
"Virtue","1821","D564444-7","GaNI","S","Chaifeng","Freeworlds Cluster","","AncientImperial Colony Modular Space Station","6","6","-1","","4","Ga","4","1","","6","4","","","NI","4","","","S","5","D","","","7",""
"Charity","1922","C535358-11","Lo","SP","Chaifeng","Freeworlds Cluster","","Post-Isolation Colony","3","3","-5","","5","","5","-4","","3","8","","P","Lo","3","","","S","5","C","","","11",""
"Pilgrim","1921","C575553-9","GaAgNI","S","Chaifeng","Freeworlds Cluster","","AncientImperial Colony Modular Space Station","7","7","1","","5","Ga","5","1","","8","3","","","NI","5","Ag","","S","5","C","","","9",""
"Aegle","1135","A4029AE-12","ICInVaHiNaHt","TI","Gaiana","Gaiana Capital","AmberZone","","0","","","Na","A","IC","2","","I","","E","","","Hi","9","In","","","4","A","T","Ht","12","Va"
"Aristaeus","1233","E300100-12","VaLoHt","","Gaiana","Gaiana Colony","AmberZone","Post-Isolation Colony","0","","","","0","","0","","","","0","","","Lo","1","","","","3","E","","Ht","12","Va"
"Gaiana","1134","A7479CB-12","GaInHiHt","NT","Gaiana","Gaiana Province","","AncientImperial Colony","4","","","","C","Ga","7","","","","B","N","","Hi","9","In","","","7","A","T","Ht","12",""
"Venke","1034","B310699-9","DePoNa","P","Gaiana","Gaiana Province","","PlagueEra Colony","1","","","Na","9","De","0","","","","9","","P","","6","","","","3","B","","","9","Po"
"Epiktetos","1131","C76669B-7","GaAgRiNI","R","Gaiana","Gaiana Province","","AncientImperial Colony Modular Space Station Former Vagabond World but part of the reparations in the CarrackTreaty","6","","","","9","Ga","6","","","","B","","","NI","6","Ag","R","","7","C","","","7","Ri"
"Hilarion","1231","B400485-12","VaNIHt","STI","Gaiana","Gaiana Province","","PlagueEra Colony Front line in ColonialWar","0","","","","8","","0","","I","","5","","","NI","4","","","S","4","B","T","Ht","12","Va"
"Karesinde","1232","X413589-8","Po","","Gaiana","Gaiana Province","","","1","","","","8","","3","","","","9","","","","5","","","","4","X","","","8","Po"
"Theopyla","1331","CA585AB-7","GaAgNI","S","Gaiana","Gaiana Province","","AncientImperial Colony Modular Space Station","5","","","","A","Ga","8","","","","B","","","NI","5","Ag","","S","A","C","","","7",""
"Eusebius","1333","X000110-9","AsVaLo","S","Gaiana","Gaiana Province","","","0","","","","1","As","0","","","","0","","","Lo","1","","","S","0","X","","","9","Va"
"Radulf","1419","E100213-10","VaLo","","Voch","General Products","","","0","2","-5","","1","","0","-4","","2","3","","","Lo","2","","","","1","E","","","10","Va"
"Gorsa","1519","C400998-5","InVaHiNaLt","SRTI","Voch","General Products","","Dependent Space Station Alpha?","0","11","2","Na","9","","0","5","I","12","8","","","Hi","9","In","R","S","4","C","T","Lt","5","Va"
"Ibis","2429","D474521-5","AgNILt","S","Chaifeng","Green Consortium","","","7","5","-1","","2","","4","-1","","7","1","","","NI","5","Ag","","S","4","D","","Lt","5",""
"Pacem","2229","B63898A-10","Hi","NRTP","Chaifeng","Green Consortium","AmberZone","PlagueEra Colony Provincial Capital","3","11","7","","8","","8","2","","4","A","N","P","Hi","9","","R","","6","B","T","","10",""
"Udona","2330","C544786-8","GaAg","S","Chaifeng","Green Consortium","","AncientImperial Colony Modular Space Station","4","9","4","","8","Ga","4","2","","9","6","","","","7","Ag","","S","5","C","","","8",""
"Hearth","2329","C7757B7-8","GaAg","P","Chaifeng","Green Consortium","","AncientImperial Colony Modular Space Station","7","9","4","","B","Ga","5","2","","9","7","","P","","7","Ag","","","7","C","","","8",""
"EsVock","2528","C878437-6","GaAgNI","N","Hatoba","Green Consortium","","AncientImperial Colony","7","4","-1","","3","Ga","8","-1","","6","7","N","","NI","4","Ag","","","8","C","","","6",""
"TrosVock","2527","D767859-2","GaAgRiLt","S","Hatoba","Green Consortium","AmberZone","AncientImperial Colony","6","9","9","","5","Ga","7","0","","6","9","","","","8","Ag","","S","7","D","","Lt","2","Ri"
"Gubu","2833","A86AA8A-12","WaHiHt","RTI","Tianzu","Gubu Capital","","","6","","","","8","Wa","A","","I","","A","","","Hi","A","","R","","8","A","T","Ht","12",""
"Zhiwa","2733","X757522-5","GaAgNILt","","Tianzu","Gubu Province","","AncientImperial Colony","5","","","","2","Ga","7","","","","2","","","NI","5","Ag","","","7","X","","Lt","5",""
"Guizhao","2734","X536326-5","LoLt","S","Tianzu","Gubu Province","","","3","","","","2","","6","","","","6","","","Lo","3","","","S","5","X","","Lt","5",""
"Sunshan","2932","A0007AC-12","AsVaNaHt","SNT","Tianzu","Gubu Province","AmberZone","","0","","","Na","A","As","0","","","","C","N","","","7","","","S","0","A","T","Ht","12","Va"
"Gongji","2934","E592401-9","NI","","Tianzu","Gubu Province","","PlagueEra Colony","9","","","","0","","2","","","","1","","","NI","4","","","","5","E","","","9",""
"Sanren","3134","E843245-7","PoLo","","Tianzu","Gubu Province","","","4","","","","4","","3","","","","5","","","Lo","2","","","","8","E","","","7","Po"
"Abraxas","2230","A460BCC-14","DeHiHt","RT","Chaifeng","Imperial Breakaway","AmberZone","","6","12","4","","C","De","0","-3","","6","C","","","Hi","B","","R","","4","A","T","Ht","14",""
"Vadagus","2019","X626132-5","LoLt","","Syganga","Independent","","","2","1","-5","","3","","6","-4","","1","2","","","Lo","1","","","","6","X","","Lt","5",""
"Haptur","2016","X682548-3","NILt","","Syganga","Independent","","","8","5","-3","","4","","2","-1","","6","8","","","NI","5","","","","6","X","","Lt","3",""
"Charon","2017","X612550-6","ICNI","","Syganga","Independent","","Dependent","1","6","-6","","5","IC","2","-2","","6","0","","","NI","5","","","","6","X","","","6",""
"Nordin","2416","E6366AB-5","NILt","","Syganga","Independent","","","3","6","-3","","A","","6","-1","","7","B","","","NI","6","","","","6","E","","Lt","5",""
"Liberty","2023","B200730-10","VaNa","SNRTI","Chaifeng","Independent","AmberZone","PlagueEra Colony","0","9","2","Na","3","","0","-2","I","3","0","N","","","7","","R","S","2","B","T","","10","Va"
"Demostrate","1620","E52058D-2","DeNILt","S","Voch","Independent","","Dying","2","4","-6","","8","De","0","-2","","6","D","","","NI","5","","","S","5","E","","Lt","2",""
"Winter","0340","D40876A-8","ICVa","S","Thorne","Independent","","","0","","","","6","IC","8","","","","A","","","","7","","","S","4","D","","","8","Va"
"Cleon","1038","E8C7454-10","FlNI","","Gaiana","Independent","","PlagueEra Colony","C","","","","5","Fl","7","","","","4","","","NI","4","","","","8","E","","","10",""
"Methodius","1335","D4024AA-11","ICVaNI","","Gaiana","Independent","","PlagueEra Colony","0","","","","A","IC","2","","","","A","","","NI","4","","","","4","D","","","11","Va"
"Irkron","2322","A5549DF-6","GaHi","NTI","Chaifeng","Irkron","RedZone","AncientImperial Colony 19.8B","5","15","-1","","D","Ga","4","2","I","","F","N","","Hi","A","","","","5","A","T","","6",""
"Haven","2121","D201663-5","ICVaNINaLt","","Chaifeng","Irkron Dominated (Freeworlds Cluster)","","Modular Space Station Defence","0","7","-9","Na","6","IC","1","-2","","8","3","","","NI","6","","","","2","D","","Lt","5","Va"
"Xin Juyou","2033","A416A99-12","ICInHiHt","RTI","Luxin","Juyou Capital","","","1","","","","9","IC","6","","I","","9","","","Hi","A","In","R","","4","A","T","Ht","12",""
"Jiandao","1931","B759847-9","","NT","Luxin","Juyou Province","","PlagueEra Colony","5","","","","4","","9","","","","7","N","","","8","","","","7","B","T","","9",""
"Kunjing","2031","D501765-8","ICVaNa","S","Luxin","Juyou Province","","","0","","","Na","6","IC","1","","","","5","","","","7","","","S","5","D","","","8","Va"
"Kaiguan","2034","A75A940-12","WaHiHt","TI","Luxin","Juyou Province","","","5","","","","4","Wa","A","","I","","0","","","Hi","9","","","","7","A","T","Ht","12",""
"Zhuyou","2131","D8A1444-8","FlNI","","Luxin","Juyou Province","","","A","","","","4","Fl","1","","","","4","","","NI","4","","","","8","D","","","8",""
"Chuanshuo","2133","E400787-8","VaNa","","Luxin","Juyou Province","","","0","","","Na","8","","0","","","","7","","","","7","","","","4","E","","","8","Va"
"Maomi","2134","C6A15A9-10","FlNI","SR","Luxin","Juyou Province","AmberZone","PlagueEra Colony","A","","","","A","Fl","1","","","","9","","","NI","5","","R","S","6","C","","","10",""
"Shiyou","2135","C200420-11","VaNI","","Luxin","Juyou Province","RedZone","Post-Isolation Colony","0","","","","2","","0","","","","0","","","NI","4","","","","2","C","","","11","Va"
"Qiyou","2136","X403634-8","ICVaNI","","Luxin","Juyou Province","","","0","","","","3","IC","3","","","","4","","","NI","6","","","","4","X","","","8","Va"
"Xin Dabai","2231","B2046BD-10","ICVaNI","RTI","Luxin","Juyou Province","","PlagueEra Colony","0","","","","B","IC","4","","I","","D","","","NI","6","","R","","2","B","T","","10","Va"
"Qiaobi","2232","B553879-6","Po","NRTI","Luxin","Juyou Province","AmberZone","","5","","","","7","","3","","I","","9","N","","","8","","R","","5","B","T","","6","Po"
"Denglu","2331","B72A662-8","WaNI","ST","Luxin","Juyou Province","","","2","","","","6","Wa","A","","","","2","","","NI","6","","","S","7","B","T","","8",""
"Fachu","2431","X400533-5","PoNINaLt","","Luxin","Juyou Province","","","0","","","Na","3","","0","","","","3","","","NI","5","","","","4","X","","Lt","5","Po"
"Syganga","2216","A20099C-13","InVaHiNaHt","RTI","Syganga","Kro Admin Capital","AmberZone","","0","11","7","Na","9","","0","5","I","7","C","","","Hi","9","In","R","","2","A","T","Ht","13","Va"
"Fluxxus","2215","XA8A230-6","WaLo","S","Syganga","Kro Administration","","","8","2","-8","","3","Wa","A","-4","","2","0","","","Lo","2","","","S","A","X","","","6",""
"Shipsend","2314","A000236-12","AsLoHt","NT","Syganga","Kro Administration","","","0","3","-8","","3","As","0","-5","","3","6","N","","Lo","2","","","","0","A","T","Ht","12",""
"Leteri","2315","DAA5531-5","FlNILt","","Syganga","Kro Administration","AmberZone","Dependent","A","5","-1","","3","Fl","5","-1","","1","1","","","NI","5","","","","A","D","","Lt","5",""
"Uxio","0922","E4A2100-13","FlLoHt","","Kamorr","Kro Administration","AmberZone","Post-Isolation Colony","A","3","-3","","0","Fl","2","-6","","-4","0","","","Lo","1","","","","4","E","","Ht","13",""
"Kibwe","1205","C672446-10","NI","I","Aklo","Kro Administration","","","7","","","","4","","2","","I","","6","","","NI","4","","","","6","C","","","10",""
"Kagiso","1403","E200147-12","VaLoHt","","Aklo","Kro Administration","","","0","","","","4","","0","","","","7","","","Lo","1","","","","2","E","","Ht","12","Va"
"Sethunya","1407","D735444-10","NI","S","Aklo","Kro Administration","","","3","","","","4","","5","","","","4","","","NI","4","","","S","7","D","","","10",""
"Adwoa","1408","C7A4232-9","FlLo","S","Aklo","Kro Administration","","Modular Space Station","A","","","","3","Fl","4","","","","2","","","Lo","2","","","S","7","C","","","9",""
"Thabo","1605","C3A3442-11","FlAgNI","P","Aklo","Kro Administration","","","A","","","","4","Fl","3","","","","2","","P","NI","4","Ag","","","3","C","","","11",""
"Lerato","1808","E534100-13","LoHt","","Tendai","Kro Administration","","Post-Isolation Colony","3","","","","0","","4","","","","0","","","Lo","1","","","","5","E","","Ht","13",""
"Tendai","2207","A67699A-12","GaInHiHt","SI","Tendai","Kro Administration","","AncientImperial Colony","7","","","","9","Ga","6","","I","","A","","","Hi","9","In","","S","6","A","","Ht","12",""
"Rindler","0529","D00036A-13","AsVaLoHt","S","Zapata","Kro Administration","AmberZone","Post-Isolation Colony","0","","","","6","As","0","","","","A","","","Lo","3","","","S","0","D","","Ht","13","Va"
"Driten","2411","X671100-4","LoLt","","Syganga","Kro World","","","7","1","-5","","0","","1","-4","","1","0","","","Lo","1","","","","6","X","","Lt","4",""
"Terroc","2311","X775140-4","GaLoLt","","Syganga","Kro World","","AncientImperial Colony","7","3","-3","","4","Ga","5","-2","","2","0","","","Lo","1","","","","7","X","","Lt","4",""
"Gaines","2412","X414453-5","NILt","","Syganga","Kro World","","Dependent","1","4","-3","","5","","4","-1","","5","3","","","NI","4","","","","4","X","","Lt","5",""
"Cepad","2312","C777765-4","GaAgLt","RTP","Syganga","Kro World","","AncientImperial Colony","7","9","4","","6","Ga","7","2","","9","5","","P","","7","Ag","R","","7","C","T","Lt","4",""
"Panzer","2424","B200377-13","VaLoHt","S","Chaifeng","Kro World","AmberZone","","0","5","0","","7","","0","-6","","-2","7","","","Lo","3","","","S","2","B","","Ht","13","Va"
"Shandar","0706","D1004B8-10","Va","S","Gedeed","Kro World","","","0","","","","B","","0","","","","8","","","","4","","","S","1","D","","","10","Va"
"Betakhod","0710","D300220-9","VaLo","S","Gedeed","Kro World","AmberZone","","0","","","","2","","0","","","","0","","","Lo","2","","","S","3","D","","","9","Va"
